"Designator","Description","Footprint","Quantity","LCSC Part","Manufacturer Part","Unit Price EUR","Subtotal EUR"
"J1","Bornier vis 3.5mm 2-pôles (alim)","TB_3.5mm_2P","1","C72660","KF128-3.5-2P","0.15","0.15"
"F1","Polyfuse reset 1A 30V","1812","1","C2762","SMD1812P100TF","0.15","0.15"
"D3","TVS bidir 24V","SMB","1","C7470","SMBJ24CA","0.10","0.10"
"VR1","Varistance 30V 1206","1206","1","C42495","VDR1206-300","0.10","0.10"
"U2","Step-down 5V/2A LM2596","TO-263","1","C25446","LM2596S-5.0","1.20","1.20"
"L1","Inductance 33uH 3A","SMD","1","C167219","SLW1040-330","0.30","0.30"
"D4","Diode Schottky SS34","SMA","1","C8678","SS34","0.05","0.05"
"C1","Cap 470uF 35V","Radial 8mm","1","C16133","Generic","0.15","0.15"
"C2","Cap 100nF 50V","0805","1","C49678","CC0805KRX7R9BB104","0.01","0.01"
"C3","Cap 220uF 16V","SMD-D6.3","1","C45783","Generic","0.10","0.10"
"U3","Transceiver RS485 MAX485","SOIC-8","1","C8943","MAX485ESA","0.30","0.30"
"U4,U5,U6,U7","Optocoupleur PC817","DIP-4","4","C7948","PC817","0.10","0.40"
"R1,R2,R3,R4","Res 4.7k 1/4W (entrée optos)","0805","4","C17714","RC0805FR-074K7L","0.01","0.04"
"R5,R6,R7,R8","Res 10k pull-up","0805","4","C17414","RC0805FR-0710KL","0.01","0.04"
"K1,K2","Relais 10A 250V SRD-05VDC","THT","2","C2904","SRD-05VDC-SL-C","0.60","1.20"
"D1,D2","Diode 1N4007 flyback","SMA","2","C2128","M7","0.02","0.04"
"Q1,Q2,Q3,Q4","Transistor BC547 NPN","SOT-23","4","C2148","BC547B-13-F","0.03","0.12"
"R9,R10,R11,R12","Res 1k base BC547","0805","4","C17513","Generic","0.01","0.04"
"VR2,VR3","Varistance 250V (snubber relais)","Radial","2","C140576","FNR-14K431","0.15","0.30"
"U8","ADC MCP3008 8-channel SPI","SOIC-16","1","C39260","MCP3008-I/SL","1.50","1.50"
"U9","Schmitt trigger 74HC14","SOIC-14","1","C5613","74HC14D","0.15","0.15"
"R_div1..4","Pont diviseur 22k/10k (0-10V)","0805","8","Generic","Generic","0.01","0.08"
"R_shunt1,R_shunt2","Shunt 250Ω 1% (4-20mA)","1206","2","C25744","RC1206FR-07250RL","0.03","0.06"
"R_ow1,R_ow2","Pull-up 4.7kΩ (OneWire)","0805","2","C17714","Generic","0.01","0.02"
"LED1","LED RGB WS2812B 5050","5050","1","C114586","WS2812B","0.15","0.15"
"BZ1","Buzzer piezo 5V 12mm","THT","1","C95298","HYT-1205","0.30","0.30"
"J2..J11","Bornier vis 3.5mm 2-pôles","TB_3.5mm_2P","10","C72660","KF128-3.5-2P","0.15","1.50"
"J12..J15","Bornier vis 3.5mm 3-pôles","TB_3.5mm_3P","4","C72661","KF128-3.5-3P","0.20","0.80"
"J16","Connecteur Grove 4-pin coudé","Grove","1","C145973","Generic","0.20","0.20"
"J17,J18","Header femelle 2×16 2.54mm","THT","2","C50950","Generic","0.30","0.60"
"R_misc","Résistances diverses (1k..220k)","0805","~20","Generic","Generic","0.01","0.20"
"C_misc","Condensateurs (100nF, 10µF…)","0805/1206","~10","Generic","Generic","0.05","0.50"
"PCB","PCB 100x80mm 2 couches HASL","—","1","JLCPCB","—","5.00","5.00"
"","","","","","","TOTAL HT","15.85"
